Page_1_Structure_1: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.II, CIDs: 0
Page_31_Structure_8: SMILES: CC1=CC(=CC=C1)C(C(C(=O)O)N)[Se], CIDs: 0
Page_31_Structure_9: SMILES: C1=CC(=CC(=C1)[C@H]([C@@H](C(=O)O)N)[S@@](=O)I)C(F)(F)F, CIDs: 0
Page_32_Structure_1: SMILES: COC1=CC(=CC=C1)[C@@H](C(C(=O)O)N)[Ge], CIDs: 0
Page_32_Structure_2: SMILES: C=CCOC1=CC=C(C=C1)C(C(C(=O)O)N)[Y6]#[Y13][H], CIDs: Not found
Page_32_Structure_3: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O.[Al], CIDs: 0
Page_32_Structure_4: SMILES: C1=CC(=C(C=C1C[C@@H](C(=O)O)N)N)O.[Tb], CIDs: 0
Page_32_Structure_5: SMILES: C(C[C@@H](C(=O)O)N)CC(=O)N.[Ta], CIDs: 0
Page_32_Structure_6: SMILES: C(C(=O)O)(C(OP(=O)(O)O)[R8])N, CIDs: Not found
Page_32_Structure_7: SMILES: C1=C(C=CC(=C1)N)C[C@@H](C(=O)O)N.[B], CIDs: 0
Page_33_Structure_1: SMILES: CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_33_Structure_2: SMILES: CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_33_Structure_3: SMILES: CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_33_Structure_4: SMILES: C#CCOC(=O)NCCCC[C@@H](C(=O)O)N.[Gd], CIDs: Not found
Page_33_Structure_5: SMILES: C=CCOC(=O)NC[C@@H]([C@@H](C(=O)O)N)O.CC.[OH-], CIDs: 0
Page_34_Structure_1: SMILES: C(CCNC(=O)OC1CC2C=CC1C2)C[C@@H](C(=O)O)N.[V], CIDs: 0
Page_34_Structure_2: SMILES: C(C[C@@H](C(=O)O)N)CC(=O)N.[Ta], CIDs: 0
Page_34_Structure_3: SMILES: COC1=CC=C(C=C1)C[C@@H](C(=O)O)N.[I-], CIDs: 0
Page_34_Structure_4: SMILES: C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C[C@@H](C(=O)O)N.S, CIDs: 161859770
Page_34_Structure_5: SMILES: C1=C(C=CC(=C1)N)CC(C(=O)O)N.[B], CIDs: 0
Page_34_Structure_6: SMILES: CN(C)C1=CC=CC2=C(C=CC=C21)S(=O)(=O)NC[C@@H](C(=O)O)N.[Se], CIDs: 0
Page_35_Structure_1: SMILES: CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_35_Structure_2: SMILES: CC(C)(C)OC(=O)NCCCC[C@@H](C(=O)O)N.[Y], CIDs: 0
Page_35_Structure_3: SMILES: C#CCOC(=O)NCCCC[C@@H](C(=O)O)N.[Os], CIDs: Not found
Page_35_Structure_4: SMILES: C#CCOC(=O)NCCCC[C@@H](C(=O)O)N.[Os], CIDs: Not found
Page_35_Structure_5: SMILES: C(CCNC(=O)OC1CC2C=CC1C2)C[C@@H](C(=O)O)N.[V+2], CIDs: 0
